tweets,label
"RT @BigKingCerberus: ""Stay with me baby girl🐺👑🍆💙🍑😈💟""

👑Follow For More👑
#Furry #Furries #Love #Lewd #Pets #DDLG #Sub #Art #Sex #Daddy #Mood…",happy
@dubyajaybent @Thesixler This made me snort laugh out loud 😂,happy
RT @KariJoys: #Love is divine &amp; God is love. #OSHO #JoyTrain #Joy #Kindness RT @songsagar https://t.co/dVLqBEXohT,happy
"If you want to enjoy Love, you just have to be real about it. Bring it back to earth, no fairy tales...
#love #getreal #enjoyit",happy
@kenzrodriguez5 he really acted like he had been drinking sprite his whole life 😂,happy
"This is FUNNY!!!!!

#natural #prettygirls #smile #beautiful #instagood #happy #floridagirl #plussizediva #pretty #teamnatural #curvy #love #follow #plussize #igers #florida #likes #photooftheday #naturalgirl… https://t.co/oZZ4tuKRtd",happy
"@cjandersonb22 @daltoosh Oh I’m dumb 😂 lol bet, I got you. I’ll tune in.",happy
"RT @complexcanada: Tyler, The Creator x Nardwuar never gets old 😂 HBD @tylerthecreator! (🎥: @nardwuar)   NSFW https://t.co/VnhUswkP73",happy
"122. How to use energy healing for panic or head pain 🙏💙🙏
https://t.co/0U9XogmIzU

#instalike #holistichealthcoach #donnaeden #spoonie #love #dohtemnede https://t.co/8R03CJ5u7H",happy
RT @MalabikaParasar: Tharoor doesn't seem interested at all 😂,happy
#Beauty #Style #Love SILK’N Beautiful Technology Infinity eHPL Light Hair Removal System NEW https://t.co/sO2rGM0H7l,happy
It was a Sun roof open kind A-day. I love springtime in Minnesota. #sunshine #springtimeinmn #joy #sunroof https://t.co/WNXXtU2Jy2,happy
Animals #m#: #Animals#: #Penguins #in #Love #| Luxendary #Air #Series #Clear #case #with  https://t.co/tbrmPoEcbQ,happy
"@ThaLakerNation That makes no fucking sense, acting like we didn’t make the finals and would’ve won even if klay was healthy the whole series 😂 but I got time today here ya go https://t.co/2tt2uOp55v",happy
"MARCHMADNESS20
25% off store-wide!

Link in the bio. What are you waiting for?

#fashion #fitzeestore #fitnessfashion #beautiful #happy #healthy #like4like #follow #instadaily #girl #style #fitness #nofilter #beauty… https://t.co/IIKUXOcfW2",happy
@Brandon_Nocaute Yo she's ready to use Eagle Claw on them boobies 😂,happy
Bitch you got 15 replies in 5 hours calm tf down you ain’t special 😂 https://t.co/lnK6LtfzKN,happy
Let me go back to drinking my water and minding my business cause I see two bumps tryna pop up lmao😂 😭,happy
"Negative self voice. 

#bmooredreambig #leadwithlove @bmooredreambig #love #dream #instagood #me #follow #instalike #followme ❤️☺️ #upwdallas2019 #videooftheday #inspiration #picoftheday #postoftheday… https://t.co/htbczZs0Tp",happy
@VICE that 1984 plate of chicken still looks great in 2020! 😂 #vice #Gremlins 🍿,happy
@DavidRagan @mattdracing 😂 love it! We’d be happy to send you some sleeved shirts.,happy
@melaninqueen21 yurrrrr better follow me back 😂,happy
"@gabrielconte 13 is my lucky day because my birthday is on August 13th, so it’s always good 😂",happy
What is happiness or do you really know - via @smedian_network #Happiness #PrisonAbolition #AuthenticHappiness #LifeIsShort #LifeLessons https://t.co/cucOWyUx9Y,happy
Aw he talm bout his first baby mama 😂 I ran to google so fast. Cause I’ve never known Jayda to be a bum,happy
"RT @DehennaDavison: £92 to perch in the aisle by the luggage rack. It’s the glitz and glamour of this job I love! 😂

@LNER this is coach E…",happy
@soeabb @soekey_ Key tell him your real answer 😂,happy
RT @jacklesnet: Soft Jensen in a cosy cardigan cause its Friday and I need this cuteness ☺ https://t.co/EeO0hE4un7,pleasant
"@jjcwow Must be fearing unemployment, he's on the crisp adverts again. The potato head!! ☺",pleasant
"Hey Luvs🙋🏽💕..Where all my Tweeties at!?👀☺
✨New✨ 
✨Live Broadcast Acct✨
Smokin n Vibin a bit 🔥😌🎶
Oh trying short hair right now 😆 https://t.co/QmZSSmX2hR",pleasant
"@chez37405899 @Ronniesoak You never know! 
He sounds tremendous!
☺",pleasant
"@texasdemyall I had to check a calendar, it was like naaaah. And congrats to your son! That should be really interesting ☺",pleasant
"@spn_kk7 @Koreaboo Yes 👍 yes👍 yes👍 yes👍 yes👍 yes!  
☺",pleasant
@steve_worrell @PaxtonRoadUpper @Daily_Hotspur and after a 3-0 win. ☺,pleasant
@solomonmissouri Im so glad someone's into it ☺ https://t.co/sUU0SDrUp5,pleasant
"I think he's wet but he could have backed into something.

I choose to think otherwise...it makes me happy.  ☺",pleasant
Helsingor is the cutest Danish town! ☺  https://t.co/DEzmWbJZi5 #travelphotography #Denmark #travelblog @LovingBlogs #bloggerstribe https://t.co/xvHk6YZ5PE,pleasant
RT @oustravaqoc: What are your favorite sex toys? Except hands ☺ #Marion County   #blowjob #support https://t.co/dBwWz3wL9D,pleasant
@WarriorZoltar @ImThatCupcake Congratulations...very happy ☺ for you...,pleasant
"@mang_spider @AndrewYang @YangVets Oooo and I know she's watching, 

Cause I just got folloowwedddddddd
Aahhh!! ☺",pleasant
"RT @SteveRogersOff: Be honest and answer 

1. Like you 😘
2. Boring 😪
3. Unique 😲
4. Full of attitude 😎
5. Sweet 😋
6. Stranger ☺️
7. Crush o…",pleasant
@KruegerFAngel @clanceman65 @JacksGreatWhite @ledzeppelin @JayMetalPlowBoy @Shagggy79 @Rockdecades @MojoMoomey @JFKKimmel Me too of course ☺,pleasant
Best one yet! #TheScottishPlay #LadyMacbeth ☺,pleasant
@newtnest @lynnmercereau Just for you Ⓜ !! Gotta figure a way to roll the boxed wine into the system eh' ☺ https://t.co/C8N8r7GNjZ,pleasant
@ManFellow2 @brhodes @dsh_OH It's the best word. ☺,pleasant
"#GOOD MORNING, HI FRIEND ,WISHING YOU ALL A WONDERFUL DAY #HAPPY WEEK    ☺️☺️☺️ YOU ALL R IN MY THOUGHTS N PRAYERS 🌺💕🌺💕🌺💕🌺💕🌺💕 https://t.co/C3aAUn41Ni",pleasant
"@AtelierHeidi I totally understand. Plus it's really beautiful, I'd want to keep it too haha. Thank you for the reply ☺ I hope you keep getting stronger and happier every day. 💕",pleasant
"I am #grateful that I am healthy 💪

#BeGrateful #bepositive #appreciate #lovelife #live #blessed #PositiveVibes #enjoy #appreciation #gratitude #gratefuldays #healthy #FridayFeeling #FridayVibes #FridayMotivation #TGIF #friyay #fridaymood",pleasant
"If you like FUNNY tweets, then you must FOLLOW HiIariousSelfie, now! They have some of the funniest tweets on twitter. You'll love them! ☺",pleasant
"@LukeBryanOnline @XFINITYTheatre @ACBeachConcerts Yes'ss'ahhh☺

💗

Whoo! hoo! ☺

YeaHh! ☺

Babeeee!🌹

💗",pleasant
"@OWilsh @Hormendo1 @YubbyNduonofit @CAPT_Vincentt Seyi, master of creative passes.  I sight you brother. ☺",pleasant
Our deer. ☺ I love how they always come through our yard. @TimPagan4 https://t.co/hOOuzdFAyd,pleasant
"PRAYERS FOR BABY AIDEN 

Just look at him smelling those flowers 🌺 ☺ Aiden had a lovely day with mum and his auntie 🌺❤
#flowers #mum #aunty #outforlunch

https://t.co/ZRAzI2ejID",pleasant
My graduation gift to myself is meeting her and seeing her live...and I can’t freaking wait ☺️☺️,pleasant
"RT @HeikeRitter: New short training videos for Microsoft Defender ATP are out!! 🔥 Tagged with ""New! for your convenience ☺ 
https://t.co/sX…",pleasant
"@majornelson @DJStarBust @supernovashadow @ClassyCatDad @CraftyGGWP @mnerdcorp Again no Luck this Time. 😔
But Congratulations to the Winners. 
Enjoy 👍☺",pleasant
"I want to say how pleased I am with my sub @BigMandingo12 ☺
He's so eager to please &amp; learn, quick to complete tasks, weekly tributes early, extra gifts sent from my wishlist &amp; reimbursements made without question. He makes the extra effort to be the best sub. 
Subs take notes!",pleasant
Aceptarnos como somos? Just be? 😭 (emotional feeling),surprise
"@lushyukhei UGH I MESSED UP ON THE SIDE BAR 😭 fml ... but thank you, sweetheart 💖💖",surprise
@vampyrizmas @pascalfilms ohhhhhh 😭 the way they phrased that i thot they meant anakin 💀,surprise
@notearsleftocry @butera Thank u for doing this 😭,surprise
RT @tomwatson: Can confirm. 😔 https://t.co/ptyviIBa5E,surprise
@DannyPaps94 @MeechIsDEAD No I can’t take the rejection 😭,surprise
RT @theKINlife: i don't come on this app to be judged you know 😭,surprise
My fucking head hurts 😢 I wanna go home 😩,surprise
can’t sleep might go🚀omegle and have a deep ass conversation with a stranger online 😔,surprise
Head still aching so bad .. don't wanna wake up! 😭,surprise
@ShisuiAfterDark LMAOO nah man it was just a coincidence 😭,surprise
@ledphoria i forgot what i made ur contact thingy 😔,surprise
@Breakdownbutera LIKE....? 😭 where are they going with this help me understand,surprise
RT @gratefulsels: demi’s only chart account is quitting bye 😭,surprise
"And on my birthday, ain’t been the same since 😔",surprise
@bcthahah @owwwaku @ecangembul @taureangrll @tauktuhhhdep @naaffiisaaa @syazzie18 @BeraniSantuy @pinkberryogurt @MajelisLucuTwt @cursedkidd SHREK 😭,surprise
"I ALSO WANT TO HEAR AND SEE YOU SING ""BY MY SIDE"" @OfficialMonstaX 😭",surprise
"RT @JioSaavn: We're hooked and HOW!? 

Max purple and max blue 💜💙💜💙💜💙 😭

#Who #Lauv #BTS #lauvxbts #BTSIndia @BTS_twt @btsindiannation @lau…",surprise
@gLitcZh That’s me man. I work at 8:30 am and I’m getting out of bed at 7:55 am 😭,surprise
@Rachelmenscream I wish! 😭 unfortunately my studio doesn’t have a balcony or space.,surprise
@MikeBates04 Oh Christ. You deserve a beer 😢,surprise
@spacegirlgail I hoped this for Milan’s sake 👀 but they are playing behind closed fires instead 😭,surprise
@crownhyunjin @caloongi not moas too 😭 they’ll beef with ANY fandom fr,surprise
@brainybackpackr Absolute worst! I just wanna cry! 😭,surprise
@blujimii i don’t even remember the layouts i had 😭,surprise
"Once I like you, I pay attention to everything 😭",surprise
"RT @innerchildjinie: all i do is shitdraw jin as a string on a worm 😔 im sorry...this is the content u get...
#wormjin https://t.co/g34mY5v…",surprise
@catsgomao Ahh yeah I'm gonna have to make one. Thank you for the support 😭,surprise
why it always da single moms getting spicy 😢,surprise
"All marriage proposals, relationship proposals and others go to @chanelyor . She’ll be handling all that. My dms are a mess. 😭",surprise
RT @_simpsss: I’ve watched almost all categories and nothing surprises me anymore 😪,fear
"Antepartum depression, or depression during pregnancy, is not just a case of feeling a bit low. It is a mood disorder that affects a person biologically.  #depression #moods #pregnancy #pregnancyemotions https://t.co/r6EmJS91ys",fear
Just realized we now have an insomnia cookies and sugaring nyc in Brooklyn.. little Manhattan is slowly forming 😪,fear
Taking time off for a bit Canceling stuff that i had planned 😪,fear
Me nuh wah fah jail dawg nuh mek me tek you life 😪,fear
the lady ahead of me in the dominos drive thru gave me a dirty look and I’m guessing she isn’t a rob zombie fan 😪 tragic,fear
A guy just told me “please tell me you pronounce your last name as hoe”..... I thought these jokes were over with in middle school 😪,fear
@waynewykwong Ohh ya the protests as well! Two semesters wth 😨,fear
"Had a headache all day. Got told yesterday someone's sick at the bar, they need me to cover shifts, 3rd weekend in a row working my 2nd job.

I was SO looking forward to some R&amp;R 😪",fear
There Must Be A Handgel!!!!!!!!!! 😨 #CoronaSongs https://t.co/wsRFZSpILf,fear
"chicken salad: celery, carrot, mayo, chili powder 
adding big chunks of beet
yum
now adding cranberry-cinnamon-nutmeg-roasted butternut squash
😱",fear
Skype Therapy using mindfulness for overcoming #Anxiety and #Depression. Visit: https://t.co/JSi5A3iLYf,fear
"RT @LNBofficiel: NOT IN HIS HOUSE 🔐🙅🏾‍♂️
@Vitah23 😨

#JeepELITE https://t.co/bViPGhixmy",fear
"@ImogenHT @KathLlewellyn I mean not for certain but I’ve been ill for a week and it’s not getting better, if anything I’m worse, and today I started having a lil trouble breathing ... 😨",fear
@HugS86 Have you ever been to Lavander town on pokemon?  😱,fear
"@rgsunico What's next, #BeastMode hashtags unrelated to Transformers? 😱",fear
"RT @JuniorOgunyemi: Guys!! Make sure your security is tight!! 
I CAUGHT A BURGLAR IN MY HOUSE LAST NIGHT...

A thread 

#Scary https://t.co…",fear
"RT @lorimcneeartist: This girl’s #calligraphy skills 😱 Her name is Akshaya
🎥 via Imgur https://t.co/qluWWDFD0q",fear
"@wojespn You gotta be kidding me 😱
Clippers patrolling their LAnd 
looking for their mortal enemies the Hyena Clan lead by their LeQueen
A confrontation of the ages https://t.co/fShXMCmAvH",fear
Online #Mindfulness Therapy via Skype for Overcoming #Anxiety and #Depression without drugs https://t.co/BJYnPmZeSG  #onlinetherapy #onlinetherapist,fear
Who’s up and feels like talking? This goin be a sleepless night for me 😪,fear
"Wondering if you heard me scream when I read this passage: “We now know Warren was seriously vetted for Clinton's VP pick, and Warren said last summer that she would have accepted the role if it had been offered.” 😱 https://t.co/h9EJDF43nR",fear
Memory Scary Game ##html5games #Fun #html5 #Matching #Memory #mobile #scary #Skill https://t.co/m8PIDQB905,fear
Why shonda make me cry like that w this last greys episode 😪,fear
"@oscar66932016 You said the big adult word for bum!!! 😱 yous a naughty cheeky boy hehe, me no tell you Mummy, no worry bestie",fear
"@thislukesmith What, incredible how shit it looks 🤔 #Awful #TitansShatOn @DestinyTheGame @Bungie",fear
New content going up LATE late tonight because I am five and need a nap. 😪,fear
@shotgun_witch 🌪️ Oh no why did I agree to this 😱,fear
"😱 OMG I want to delete that image out of my mind!!! To late, I’m scared",fear
RT @4trump247: @ChinaUSFocus @nytimes It’s Armageddon 😱 😝,fear
RT @georgieweare: This just got deleted of my IG I’ve got a serious hater on there 😠 why why 💔 https://t.co/sE9w5x0mbx,angry
"@huntwatchuk It couldn’t have happened to a nicer … something rhyming with “hunt” 😠
#GottaLoveKarma",angry
@lindadababe Yep. Not buying another cone 😠,angry
Fraud allegations mar Florida voter registration push | Miami Herald 😡 https://t.co/n2g8vgjljL,angry
I hope he catches Corona. There isn’t a bad song on that album.... 😡,angry
"@Valac666 Over a retweet about a piece of shit who raped a young girl in a public pool in the UK...😠
The dad calls police, they won't arrest the goat fucker, and end up arresting the dad in front of his child 😠
Got a warning, will be terminated next time
Gonna miss me? 😝",angry
Not tryna be a hoe or nun but if you commit suicide you a bitch 😡,angry
"So a stranger decides to whatsapp video call me this time, wtf? 😡",angry
"RT @Oriomoto: @kakkoipanda @loonatheworld Sou fria 😡 @loonatheworld

https://t.co/sFYKiQbW1j",angry
not so peeved someone stole some of my weed but i am pissed that they opened my grinder upside down and the keif went everywhere and now i have a goddamn sticky grinder 😡,angry
Do I even need to comment on this? It`s self-explanatory 😠,angry
"@revdrduke To make matters worse, he had to wear that stupid hat. For once, can he PLEASE stop campaigning &amp; TRY to act like a President?  PEOPLE ARE DYING!!!  😡",angry
"RT @Stubarb1: My general mood this week 😒 #selfportrait #infinitepainter #digitalart #angry
https://t.co/s2UIowFm3x",angry
RT @Malikski42: @AB84 @Primetime_jet Don't start pulling him into the BS 😠,angry
"For Year 2020: As of March 5, 2020 
7,384 thousand U.S. 🇺🇸 #Horses were sent to Mexico 🇲🇽 for #HorseSlaughter to be made into food for human consumption 😡
#Yes2SAFE #HR961 #S2006 #HorseMeat https://t.co/TyX0Pp9kpH",angry
"RT @koopac7: Well, society wants less police, more illegals, criminals released from prison so.... This is insanely maddening. 😠",angry
@sluttyx1 Using both hands https://t.co/xqBAQpLmeA 😠 🏂 😦 😶 [5 ]X1FbIm F,angry
@tsukasaslilfang only maane will get mad 😠,angry
RT @rafaxperez: no babe EA STAYS ON DURING SEX 😡,angry
@Sawstepp Honestly Green should be S tier 😠,angry
"If me &amp; you Break Up, you dare not go to the Waakye Joint I showed You. 😠",angry
#WarCrimes just adding it to the list of previous war crimes.... 😡,angry
At the courthouse rn &amp; I’m disgusted by the dude 2 seats down digging in his brain switching it up using both hands 😠,angry
@StephenKing Auto correct 😠 the words OF a pedo.,angry
@1980Dorothy I couldn’t believe it - I read he had a stay from the Supreme Court -then suddenly I read he was executed...wth? I don’t understand this at all - 😡,angry
I leave for two days and my family takes it as an opportunity to go through my stuff 😡,angry
I’m almost 100% sure this spider fucking bit my face! 😡,angry
"RT @crysxtxl: I just got off the phone with a nurse for a triage, she was so impatient and rushing me! I don’t aspire to be like her 😡",angry
"I hate abusive words 😠 but this one is really bad. I mean #merajismmerimerzi is a slogan which is not much tht bad, but ye kia bat hui. Really Bad.😋😅 #MeraJismMeriMarzi
#KhalilUrRahmanQamar 
#WeRejectMeraJismMeriMarzi 

@TheMahiraKhan 
@VJURWA 
@aClockworkObi 
@MawraHocane https://t.co/i1nXphCRBf",angry
"RT @cheeseconsin: WTF is this? My blood is boiling! 😡

Illegals have been claiming child tax credit for years while their kids were not eve…",angry
